epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.606975257396698,1.333864450454712,0.1,0.9999998807907104,1.116729974746704
1,0.9975772500038147,0.37551766633987427,0.1,0.9999998807907104,0.7004348635673523
2,0.9999388456344604,0.16256161034107208,0.1,0.9999998807907104,0.49703747034072876
3,0.9999895095825195,0.09444059431552887,0.1,0.9999998807907104,0.3797079920768738
4,0.9999978542327881,0.0644984170794487,0.1,0.9999998807907104,0.30049875378608704
5,0.9999992251396179,0.04840656369924545,0.1,0.9999998807907104,0.24304074048995972
